web-scraper-order,web-scraper-start-url,type_chaussures,Prix,Adresse,Image_lien,Image_lien-href
"1739393952-221","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","10 000CFA","Hann Bel-Air, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3217486"
"1739393952-222","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","10 000CFA","Hann Bel-Air, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3217457"
"1739393952-223","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3214895"
"1739393952-224","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3214892"
"1739393952-225","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures à talon enfant","Prix sur demande","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-a-talon-enfant-3202429"
"1739393952-226","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets enfant","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-enfant-3196322"
"1739393952-227","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Air Jordan enfant","15 000CFA","Point E, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-air-jordan-enfant-3171528"
"1739393952-228","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3163306"
"1739393952-229","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures bébé","5 000CFA","HLM, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-bebe-3156703"
"1739393952-230","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3141004"
"1739393952-231","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3141001"
"1739393952-232","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures bébé","6 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-bebe-3140539"
"1739393952-233","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","5 000CFA","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3138744"
"1739393952-234","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","5 000CFA","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3138741"
"1739393952-235","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures bébé","6 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-bebe-3136795"
"1739393952-236","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures orthopédiques enfants","12 000CFA","Rufisque, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-orthopediques-enfants-3128593"
"1739393952-237","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","8 500CFA","Grand Dakar, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3124327"
"1739393952-238","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures crops bébé","5 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-crops-bebe-3106484"
"1739393952-239","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","2 500CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3105886"
"1739393952-240","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","6 000CFA","Almadies, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3102441"
"1739393952-241","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","6 000CFA","Almadies, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3102432"
"1739393952-242","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","3 500CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3102429"
"1739393952-243","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","6 000CFA","Almadies, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3102419"
"1739393952-244","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Rufisque, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3102417"
"1739393952-245","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","10 000CFA","Biscuiterie, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3102122"
"1739393952-246","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","50 000CFA","Fann-Point E-Amitié, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3100228"
"1739393952-247","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures fille","Prix sur demande","Grand Yoff, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-fille-3099833"
"1739393952-248","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures à talon enfants","10 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-a-talon-enfants-3095584"
"1739393952-249","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","15 000CFA","Biscuiterie, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3093302"
"1739393952-250","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","Prix sur demande","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3088810"
"1739393952-251","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures petite fille","Prix sur demande","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-petite-fille-3088807"
"1739393952-252","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3085707"
"1739393952-253","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures filles","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-filles-3085706"
"1739393952-254","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Jordan enfant","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-jordan-enfant-3085703"
"1739393952-255","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures  fille","5 500CFA","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-fille-3084737"
"1739393952-256","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","Prix sur demande","Grand Yoff, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3083915"
"1739393952-257","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","10 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3077278"
"1739393952-258","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","15 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3075527"
"1739393952-259","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","5 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3071648"
"1739393952-260","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Grand Dakar, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3071128"
"1739393952-261","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Grand Dakar, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3060194"
"1739393952-262","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","10 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3052212"
"1739393952-263","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Adidas Stan Smith pour bébé","8 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-adidas-stan-smith-pour-bebe-3048378"
"1739393952-264","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","10 000CFA","Ziguinchor, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3047906"
"1739393952-265","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","10 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3047901"
"1739393952-266","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures bébé","10 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-bebe-3047895"
"1739393952-267","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures Enfants","10 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3040951"
"1739393952-268","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","10 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3040948"
"1739393952-269","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures fillette","10 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-fillette-3039898"
"1739393952-270","https://sn.coinafrique.com/categorie/chaussures-enfants","Mocassins enfant","10 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/mocassins-enfant-3039894"
"1739393952-271","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","10 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3039890"
"1739393952-272","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Adidas Yeezy","10 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-adidas-yeezy-3039797"
"1739393952-273","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Jordan enfants","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-jordan-enfants-3036158"
"1739393952-274","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Nike Air Force enfants","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-nike-air-force-enfants-3036156"
"1739393952-275","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Nike enfants","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-nike-enfants-3036155"
"1739393952-276","https://sn.coinafrique.com/categorie/chaussures-enfants","Ensemble enfant","12 000CFA","HLM, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/ensemble-enfant-3032235"
"1739393952-277","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures bébé","4 000CFA","HLM, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-bebe-3024586"
"1739393952-278","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures bébé","5 000CFA","HLM, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-bebe-3024046"
"1739393952-279","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3021292"
"1739393952-280","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3021291"
"1739393952-281","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","8 500CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3019231"
"1739393952-282","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets enfants","Prix sur demande","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-enfants-3017496"
"1739393952-283","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets enfants","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-enfants-3017343"
"1739393952-284","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Nike enfants","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-nike-enfants-3017342"
"1739393952-285","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Jordan enfants","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-jordan-enfants-3015628"
"1739393952-286","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant friperie","5 000CFA","Colobane, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-friperie-3012388"
"1739393952-287","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","Prix sur demande","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3010551"
"1739393952-288","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","Prix sur demande","Medina, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3007072"
"1739393952-289","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","Prix sur demande","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3006541"
"1739393952-290","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","8 500CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3004980"
"1739393952-291","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","Prix sur demande","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3000024"
"1739393952-292","https://sn.coinafrique.com/categorie/chaussures-enfants","Mocassin enfants","8 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/mocassin-enfants-2998854"
"1739393952-293","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussure enfant","Prix sur demande","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussure-enfant-2972750"
"1739393952-294","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2972549"
"1739393952-295","https://sn.coinafrique.com/categorie/chaussures-enfants","Claquettes enfant","6 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-enfant-2972548"
"1739393952-296","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","3 000CFA","Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2956562"
"1739393952-297","https://sn.coinafrique.com/categorie/chaussures-enfants","Bottes montantes enfants","Prix sur demande","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/bottes-montantes-enfants-2942252"
"1739393952-298","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures  enfants","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2942163"
"1739393952-299","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures  enfants","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2942161"
"1739393952-300","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures nourrissons","Prix sur demande","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-nourrissons-2942148"
"1739393952-301","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures Jordan 11","20 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-jordan-11-2934921"
"1739393952-302","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Nike","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-nike-2924613"
"1739393952-303","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures pour enfant","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-2924609"
"1739393952-304","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets fille","1 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-fille-2905159"
"1739393952-305","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","30 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2896647"
"1739393952-306","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","25 000CFA","Almadies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2883679"
"1739393952-307","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","25 000CFA","Almadies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2883672"
"1739393952-308","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2867107"
"1739393952-309","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2862808"
"1739393952-310","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","2 500CFA","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2847269"
"1739393952-311","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Nike pour enfants","10 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-nike-pour-enfants-2837971"
"1739393952-312","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures garçons","10 000CFA","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-garcons-2831294"
"1739393952-313","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures pour enfants","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfants-2830947"
"1739393952-314","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussure enfants","Prix sur demande","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussure-enfants-2822660"
"1739393952-315","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Puma - Adidas","Prix sur demande","Fass, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-puma-adidas-2818578"
"1739393952-316","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures friperie - enfants","5 000CFA","Colobane, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-friperie-enfants-2812381"
"1739393952-317","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures friperie enfant","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-friperie-enfant-2812377"
"1739393952-318","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Nike","15 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-nike-2810613"
"1739393952-319","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","2 500CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2802614"
"1739393952-320","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures bébé","3 000CFA","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-bebe-2801602"
"1739393952-321","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures garçon","Prix sur demande","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-garcon-2798841"
"1739393952-322","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","10 000CFA","Yoff, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2797680"
"1739393952-323","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures garçons","3 000CFA","Grand Dakar, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-garcons-2795704"
"1739393952-324","https://sn.coinafrique.com/categorie/chaussures-enfants","Claquettes enfants","6 000CFA","Guediawaye, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-enfants-2795343"
"1739393952-325","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Adidas","22 500CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-adidas-2789511"
"1739393952-326","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","13 000CFA","Ziguinchor, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2772389"
"1739393952-327","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","15 000CFA","Ziguinchor, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2772383"
"1739393952-328","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures  enfants","10 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2765779"
"1739393952-329","https://sn.coinafrique.com/categorie/chaussures-enfants","Claquettes enfant","2 500CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-enfant-2762753"
"1739393952-330","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures de sport enfants","2 000CFA","Hann Bel-Air, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-de-sport-enfants-2752149"
"1739393952-331","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","2 500CFA","Hann Bel-Air, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2752137"
"1739393952-332","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures d'été enfants","3 000CFA","Hann Bel-Air, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-dete-enfants-2752129"
"1739393952-333","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","7 500CFA","Hann Bel-Air, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2752111"
"1739393952-334","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","15 000CFA","Kolda, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2749776"
"1739393952-335","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","10 000CFA","Patte d'oie, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2749342"
"1739393952-336","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","15 000CFA","Hann Bel-Air, Hann / Bel Air (Dakar), Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2747212"
"1739393952-337","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures fille","15 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-fille-2744527"
"1739393952-338","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","7 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2740384"
"1739393952-339","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","7 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2740383"
"1739393952-340","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Fass, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2738977"
