web-scraper-order,web-scraper-start-url,Types_habits,Prix,Adresse,Image_lien,Image_lien-href
"1739226162-973","https://sn.coinafrique.com/categorie/vetements-enfants","Ensembles enfant","20 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ensembles-enfant-2485396"
"1739226162-974","https://sn.coinafrique.com/categorie/vetements-enfants","Robe pour enfants","7 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-pour-enfants-2485385"
"1739226162-975","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble Enfants","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfants-2485300"
"1739226162-976","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfant","20 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-2485283"
"1739226162-977","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfants","20 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfants-2485185"
"1739226162-978","https://sn.coinafrique.com/categorie/vetements-enfants","Veste africaine","12 000CFA","Biscuiterie, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/veste-africaine-2484591"
"1739226162-979","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2483313"
"1739226162-980","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2483311"
"1739226162-981","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2483310"
"1739226162-982","https://sn.coinafrique.com/categorie/vetements-enfants","Robe de princesse","7 500CFA","Grand Yoff, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-de-princesse-2482674"
"1739226162-983","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","12 000CFA","Biscuiterie, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-2478222"
"1739226162-984","https://sn.coinafrique.com/categorie/vetements-enfants","Robe  enfant","7 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-2474908"
"1739226162-985","https://sn.coinafrique.com/categorie/vetements-enfants","Robes pour enfants","7 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robes-pour-enfants-2474793"
"1739226162-986","https://sn.coinafrique.com/categorie/vetements-enfants","Robe   enfant","7 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-2474774"
"1739226162-987","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfants","20 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfants-2474321"
"1739226162-988","https://sn.coinafrique.com/categorie/vetements-enfants","Robes enfants","7 000CFA","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robes-enfants-2471587"
"1739226162-989","https://sn.coinafrique.com/categorie/vetements-enfants","Robes enfants","10 000CFA","Biscuiterie, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robes-enfants-2471047"
"1739226162-990","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  pour bébé","10 000CFA","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-pour-bebe-2469036"
"1739226162-991","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  enfant","10 000CFA","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-2469028"
"1739226162-992","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  enfant","7 500CFA","Grand Yoff, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-2461597"
"1739226162-993","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","7 000CFA","Biscuiterie, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-2461460"
